"A1JV1512090","07C0948000",2015-12-06 00:00:00,730,2017-12-05 00:00:00,141600.00,0.08000,"RG","","TF20151211","",0,"","SCEG",,"305",0,"","",,
"A1JV1512091","07D0588000",2015-12-07 00:00:00,730,2017-12-06 00:00:00,1505864.12,0.08000,"RG","","TF20151212","",0,"","SCEG",,"305",0,"","",,
"A1JV1512094","06M2606000",2015-12-10 00:00:00,730,2017-12-09 00:00:00,236000.00,0.08000,"RG","","TF20151215","",0,"","SCEG",,"305",0,"","",,
"A1JV1512095","06C0315000",2015-12-11 00:00:00,730,2017-12-10 00:00:00,11800.00,0.08000,"RG","","TF20151216","",0,"","SCEG",,"305",0,"","",,
"A1JV1512122","28M5772000",2015-12-27 00:00:00,730,2017-12-26 00:00:00,50740.00,0.08000,"RG","","TF20151244","",0,"","SCEG",,"305",0,"","",,
"A1JV1512123","15M3843000",2015-12-27 00:00:00,730,2017-12-26 00:00:00,92040.00,0.08000,"RG","","TF20151245","",0,"","SCEG",,"305",0,"","",,
"A1JV1512125","03M0645000",2015-12-28 16:27:29,730,2017-12-27 00:00:00,354000.00,0.08000,"RG","","TD20151247","",-54000.00,"","SCEG",,"305",0,"","",,
"JR116288","06C0315000",2015-12-07 00:00:00,730,2017-12-28 00:00:00,50000.00,0.08000,"RG","","TF20151202","",0,"","SCEG",,"305",0,"","",,
"JR116290","06C0315000",2015-12-07 00:00:00,730,2017-12-28 00:00:00,50000.00,0.08000,"RG","","TF20151204","",0,"","SCEG",,"305",0,"","",,
"JR116292","06C0315000",2015-12-07 00:00:00,730,2017-12-28 00:00:00,50000.00,0.08000,"RG","","TF20151206","",0,"","SCEG",,"305",0,"","",,
"A1JV1601055","47D0135002",2016-01-03 00:00:00,730,2018-01-02 00:00:00,11800.00,0.08000,"RG","","TF20160101","",0,"","SCEG",,"305",0,"","",,
"A1JV1601112","22M0752000",2016-01-17 00:00:00,730,2018-01-16 00:00:00,212400.00,0.08000,"RG","","TF20160134","",0,"","SCEG",,"305",0,"","",,
"JR116640","06C0315000",2016-01-08 00:00:00,730,2018-01-07 00:00:00,50000.00,0.08000,"RG","","TF20160185","",0,"","SCEG",,"305",0,"","",,
"A1JV1601205","28M2955000",2016-01-20 00:00:00,730,2018-01-19 00:00:00,169920.00,0.08000,"RG","","TF20160143","",0,"","SCEG",,"305",0,"","",,
"A1JV1601207","06C0315000",2016-01-21 00:00:00,730,2018-01-20 00:00:00,28320.00,0.08000,"RG","","TF20160145","",0,"","SCEG",,"305",0,"","",,
"A1JV1601211","22M0794000",2016-01-23 14:50:48,730,2018-01-22 00:00:00,84960.00,0.08000,"RG","","TF20160149","",0,"","SCEG",,"305",0,"","",,
"A1JV1601212","06C0315000",2016-01-24 00:00:00,730,2018-01-23 00:00:00,11800.00,0.08000,"RG","","TF20160150","",0,"","SCEG",,"305",0,"","",,
